id,category,question,answer,clean_question
1,Greetings,Hello,Hello! How can I assist you today?,hello
2,Greetings,Hi,Hi there! How may I help you?,hi
3,Greetings,Good morning,Good morning! What can I help you with today?,good morning
4,Greetings,Good afternoon,Good afternoon! How can I assist you?,good afternoon
5,Greetings,Good evening,Good evening! How may I be of service?,good evening
6,Greetings,Hey,Hey! How can I help you out today?,hey
7,Greetings,Is anyone there?,"Yes, I'm here! How can I help you?",is anyone there
8,Greetings,I need help,I would be happy to help. What do you need assistance with?,i need help
9,Greetings,Can you help me?,Absolutely! Please let me know what you need help with.,can you help me
10,Greetings,Greetings,Greetings! How can I assist you today?,greetings
11,Account,How do I reset my password?,"Click ""Forgot Password"" on the login page and follow the instructions sent to your email.",how do i reset my password
12,Account,I forgot my password,"No problem! Just click ""Forgot Password"" on the login screen to receive a reset link.",i forgot my password
13,Account,Can you help me reset my password?,"To reset your password, please go to the login page and click on ""Forgot Password"".",can you help me reset my password
14,Account,How do I create an account?,"Click the ""Sign Up"" button at the top right of the homepage and fill in your details.",how do i create an account
15,Account,I want to register a new account,"You can register by clicking ""Sign Up"" on our homepage and providing your email and a secure password.",i want to register a new account
16,Account,Where do I sign up?,"Look for the ""Sign Up"" or ""Register"" button in the top right corner of our website.",where do i sign up
17,Account,How do I update my profile information?,"Log in, go to ""My Account"", and select ""Profile Settings"" to update your details.",how do i update my profile information
18,Account,I need to change my email address,"You can update your email address in the ""Profile Settings"" section under ""My Account"".",i need to change my email address
19,Account,How do I change my phone number?,"Navigate to ""My Account"", click ""Profile Settings"", and update your phone number there.",how do i change my phone number
20,Account,Can I update my billing address?,"Yes, you can manage your addresses in the ""Address Book"" section of your account settings.",can i update my billing address
21,Account,How do I delete my account?,"To delete your account, please contact our support team directly or go to ""Privacy Settings"" in your account.",how do i delete my account
22,Account,I want to close my account,"We're sorry to see you go! You can close your account under ""Privacy Settings"" or by contacting support.",i want to close my account
23,Account,Can you deactivate my account?,"You can deactivate your account temporarily or permanently in your account's ""Privacy Settings"".",can you deactivate my account
24,Account,Where can I view my past orders?,"Log in to your account and click on ""Order History"" to view all your past purchases.",where can i view my past orders
25,Account,How do I check my order history?,"Your order history is available under the ""My Orders"" tab in your account dashboard.",how do i check my order history
26,Account,I want to see what I bought last month,"You can filter your past purchases by date in the ""Order History"" section of your account.",i want to see what i bought last month
27,Account,What are loyalty points?,"Loyalty points are rewards you earn on every purchase, which can be redeemed for discounts.",what are loyalty points
28,Account,How do I earn reward points?,You earn points automatically with every purchase you make while logged into your account.,how do i earn reward points
29,Account,How can I redeem my loyalty points?,You can apply your available loyalty points at checkout to receive a discount on your order.,how can i redeem my loyalty points
30,Account,My account is locked,"If your account is locked due to multiple failed login attempts, please wait 30 minutes or reset your password.",my account is locked
31,Account,I can't log in to my account,"Please ensure your email and password are correct. If you still can't log in, try resetting your password.",i cant log in to my account
32,Account,Why is my account suspended?,Accounts may be suspended for policy violations. Please contact customer support for more information.,why is my account suspended
33,Account,How do I subscribe to the newsletter?,You can subscribe by entering your email address in the footer of our website.,how do i subscribe to the newsletter
34,Account,I want to unsubscribe from marketing emails,"Click the ""Unsubscribe"" link at the bottom of any marketing email you receive from us.",i want to unsubscribe from marketing emails
35,Account,Stop sending me emails,"You can manage your email preferences in your account settings or click ""Unsubscribe"" in our emails.",stop sending me emails
36,Orders,Where is my order?,"Go to ""My Orders"" to view the latest tracking information for your package.",where is my order
37,Orders,Track my order,"You can track your order by clicking the tracking link in your shipping confirmation email or via ""My Orders"".",track my order
38,Orders,Has my order shipped yet?,"Check the status of your order in the ""My Orders"" section. It will say ""Shipped"" once it leaves our warehouse.",has my order shipped yet
39,Orders,When will my order arrive?,Estimated delivery dates are provided at checkout and can be viewed in your order tracking details.,when will my order arrive
40,Orders,I haven't received my order,"If your order is past the estimated delivery date, please check the tracking link or contact support.",i havent received my order
41,Orders,Can I cancel my order?,"Orders can be canceled within 1 hour of placement. Go to ""My Orders"" and click ""Cancel Order"".",can i cancel my order
42,Orders,I want to cancel my purchase,"If it has been less than an hour, you can cancel via ""My Orders"". Otherwise, you may need to initiate a return.",i want to cancel my purchase
43,Orders,How do I stop my order from shipping?,"Please cancel your order immediately in ""My Orders"". If it has already shipped, it cannot be stopped.",how do i stop my order from shipping
44,Orders,Is it too late to cancel?,"Orders process quickly. If the ""Cancel"" button is no longer visible in your account, it's too late to cancel.",is it too late to cancel
45,Orders,I canceled my order but didn't get a refund,Refunds for canceled orders take 3-5 business days to process depending on your bank.,i canceled my order but didnt get a refund
46,Orders,Can I change the size of the item I ordered?,We cannot modify items in an order once placed. Please cancel and reorder within 1 hour.,can i change the size of the item i ordered
47,Orders,I ordered the wrong color,"To change a color, please cancel the original order within 1 hour and place a new one.",i ordered the wrong color
48,Orders,Can I add an item to my existing order?,We cannot add items to an existing order. Please place a separate order for the additional items.,can i add an item to my existing order
49,Orders,How do I change my shipping address on an order?,"You can update the shipping address within 1 hour of ordering via the ""My Orders"" page.",how do i change my shipping address on an order
50,Orders,I put the wrong address on my order,"If the order hasn't shipped, update it in ""My Orders"". If it has, contact the courier immediately.",i put the wrong address on my order
51,Orders,An item is missing from my package,We apologize! Please contact support with your order number and we will resolve this immediately.,an item is missing from my package
